anchor,positive,negative,pos_distance,neg_distance,distance_gap,margin
42,22,3,0.0,3.749997664897999,3.749997664897999,3.749997664897999
42,22,15,0.0,4.0,4.0,4.0
42,22,9,0.0,4.0,4.0,4.0
42,22,13,0.0,4.499835320507832,4.499835320507832,4.499835320507832
42,22,0,0.0,4.4999947079068665,4.4999947079068665,4.4999947079068665
42,22,7,0.0,4.5000052920931335,4.5000052920931335,4.5000052920931335
42,22,16,0.0,6.250000155476583,6.250000155476583,6.250000155476583
42,22,6,0.0,6.5000003109531646,6.5000003109531646,6.5000003109531646
42,22,19,0.0,7.0000003109531646,7.0000003109531646,7.0000003109531646
42,22,20,0.0,8.750473131261487,8.750473131261487,8.750473131261487
16,13,0,1.749997353953433,2.999994707906866,1.249997353953433,1.249997353953433
16,13,67,1.749997353953433,3.2500001554765827,1.5000028015231497,1.5000028015231497
16,13,15,1.749997353953433,3.2500001554765827,1.5000028015231497,1.5000028015231497
16,13,27,1.749997353953433,3.2500001554765827,1.5000028015231497,1.5000028015231497
16,13,36,1.749997353953433,3.2500001554765827,1.5000028015231497,1.5000028015231497
16,13,62,1.749997353953433,3.749994863383448,1.9999975094300149,1.9999975094300149
16,13,30,1.749997353953433,3.749994863383448,1.9999975094300149,1.9999975094300149
16,13,8,1.749997353953433,3.749997353953433,1.9999999999999998,1.9999999999999998
16,13,20,1.749997353953433,3.999997509430016,2.2500001554765827,2.2500001554765827
16,13,3,1.749997353953433,4.249997664897999,2.500000310944566,2.500000310944566
16,13,58,1.749997353953433,5.250000155476583,3.5000028015231495,3.5000028015231495
16,13,21,1.749997353953433,5.499601619517988,3.749604265564555,3.749604265564555
16,13,23,1.749997353953433,5.750077056458397,4.000079702504964,4.000079702504964
16,13,2,1.749997353953433,5.750077056458397,4.000079702504964,4.000079702504964
16,13,41,1.749997353953433,5.750154268393377,4.000156914439944,4.000156914439944
16,13,42,1.749997353953433,6.250000155476583,4.5000028015231495,4.5000028015231495
